Date,Open,High,Low,Close,Volume,Open Interest
11/20/2019,0,0,0,3956,0,0
11/21/2019,0,0,0,4191,0,0
11/22/2019,,,,4204,,
11/25/2019,0,0,0,4159,0,0
11/26/2019,0,0,0,4178,0,0
11/27/2019,0,0,0,4172,0,0
11/28/2019,0,0,0,4218,0,0
11/29/2019,0,0,0,4020,0,0
12/2/2019,0,0,0,4063,0,0
12/3/2019,0,0,0,4084,0,0
12/4/2019,0,0,0,4204,0,0
12/5/2019,0,0,0,4191,0,0
12/6/2019,0,0,0,4231,0,0
12/9/2019,0,0,0,4212,0,0
12/10/2019,0,0,0,4210,0,0
12/11/2019,0,0,0,4176,0,0
12/12/2019,0,0,0,4205,0,0
12/13/2019,0,0,0,4256,0,0
12/17/2019,0,0,0,4344,0,0
12/18/2019,0,0,0,4321,0,0
12/19/2019,0,0,0,4341,0,0
12/20/2019,0,0,0,4305,0,0
12/23/2019,0,0,0,4325,0,0
12/24/2019,0,0,0,4359,0,0
12/26/2019,0,0,0,4384,0,0
12/27/2019,0,0,0,4404,0,0
12/30/2019,0,0,0,4386,0,0
1/1/2020,0,0,0,4361,0,0
1/2/2020,0,0,0,4339,0,0
1/3/2020,0,0,0,4480,0,0
1/6/2020,0,0,0,4530,0,0
1/7/2020,0,0,0,4497,0,0
1/8/2020,0,0,0,4271,0,0
1/9/2020,0,0,0,4259,0,0
1/10/2020,0,0,0,4231,0,0
1/13/2020,0,0,0,4176,0,0
1/14/2020,0,0,0,4193,0,0
1/15/2020,0,0,0,4155,0,0
1/16/2020,0,0,0,4213,0,0
1/17/2020,0,0,0,4205,0,0
1/20/2020,0,0,0,4197,0,0
1/21/2020,0,0,0,4207,0,0
1/22/2020,0,0,0,4087,0,0
1/23/2020,0,0,0,3980,0,0
1/24/2020,0,0,0,3922,0,0
1/27/2020,0,0,0,3838,0,0
1/28/2020,0,0,0,3875,0,0
1/29/2020,0,0,0,3864,0,0
1/30/2020,0,0,0,3793,0,0
2/1/2020,0,0,0,3753,0,0
2/3/2020,0,0,0,3702,0,0
2/4/2020,0,0,0,3666,0,0
2/5/2020,0,0,0,3750,0,0
2/6/2020,0,0,0,3715,0,0
2/7/2020,0,0,0,3712,0,0
2/10/2020,0,0,0,3630,0,0
2/11/2020,0,0,0,3665,0,0
2/12/2020,0,0,0,3751,0,0
2/13/2020,0,0,0,3757,0,0
2/14/2020,0,0,0,3799,0,0
2/17/2020,0,0,0,3828,0,0
2/18/2020,0,0,0,3820,0,0
2/19/2020,0,0,0,3898,0,0
2/20/2020,0,0,0,3952,0,0
2/21/2020,3895,3905,3860,3885,6,3
2/24/2020,3847,3847,3751,3798,6,6
2/25/2020,3781,3804,3689,3749,7,10
2/26/2020,3681,3681,3592,3627,25,24
2/27/2020,3512,3520,3404,3433,28,30
2/28/2020,3320,3393,3280,3332,23,25
3/2/2020,3400,3489,3365,3418,13,22
3/3/2020,3554,3619,3511,3539,28,17
3/4/2020,3587,3620,3524,3560,22,20
3/5/2020,3562,3562,3478,3504,9,22
3/9/2020,,,,2574,,33
3/10/2020,2635,2677,2581,2615,39,46
3/11/2020,2670,2746,2577,2599,56,44
3/12/2020,2496,2523,2420,2481,109,68
3/13/2020,2490,2625,2420,2528,115,84
3/16/2020,2497,2497,2300,2338,189,230
3/17/2020,2372,2390,2251,2266,144,242
3/18/2020,2184,2262,1875,1910,661,416
3/19/2020,1900,2150,1881,2130,1368,484
3/20/2020,2215,2296,1955,2075,6065,609
3/23/2020,1992,2041,1919,2008,3636,657
3/24/2020,2088,2170,2070,2082,2288,709
3/25/2020,2165,2195,2075,2164,2458,760
3/26/2020,2144,2147,1992,2001,2658,904
3/27/2020,2025,2032,1930,1952,3117,1122
3/30/2020,1890,1993,1880,1907,2487,1296
3/31/2020,1962,1990,1948,1977,1571,1418
4/1/2020,1919,1927,1873,1917,2125,1545
4/3/2020,1950,2283,1950,2245,12326,1735
4/7/2020,2334,2395,2334,2378,6869,3188
4/8/2020,2345,2345,2250,2273,8363,3494
4/9/2020,2305,2458,2300,2410,8088,2723
4/13/2020,2314,2320,2194,2246,12769,2896
4/15/2020,2200,2200,2047,2090,19843,4919
4/16/2020,2086,2121,2076,2106,11838,6321
4/17/2020,2095,2095,1968,2014,28347,9602
4/21/2020,1727,1727,1221,1324,262311,12533
4/22/2020,1272,1272,848,937,111720,13524
4/23/2020,960,1424,960,1289,226957,11316
4/24/2020,1340,1405,1218,1350,261565,10369
4/27/2020,1296,1296,941,1066,232376,11286
4/28/2020,1024,1064,795,1005,328816,11658
4/29/2020,1045,1276,1030,1183,262931,10260
4/30/2020,1230,1423,1230,1315,197651,7095
5/1/2020,1360,1555,1360,1518,73049,6759
5/4/2020,1458,1572,1386,1555,164325,6247
5/5/2020,1600,1924,1600,1869,146698,5669
5/6/2020,1891,1964,1745,1801,188216,5252
5/7/2020,1849,2043,1785,1834,175665,5367
5/8/2020,1827,1906,1776,1837,166915,5143
5/11/2020,1845,1947,1805,1845,155057,4824
